"C2API_Version","Export_Date","Token","Precontext","Sentence","Postcontext"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Steht der Mond am gleichen Ort im Tierkreis wie die Sonne am kürzesten Tag, so ist er in Tiefststellung.","Der Mond steht tief über dem Südhorizont und steigt nun täglich, er läuft «obsigend».","Mit dem Zeichen der Zwillinge hat er seine Höchststellung erreicht."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Bei «obsigend» soll gepflanzt werden, was in die Höhe wächst, eine Quelle gefasst, ein Wassergraben ausgestochen, ein Miststock auf die Wiese versetzt werden.","Allerdings nur bei zunehmendem Mond sollten die Haare geschnitten werden.","Bei «nidsigend» soll der Mist ausgetragen werden, denn sonst bleibt der Mist bis zum Heuet liegen."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Empfohlen wird das Pflanzen von Kartoffeln und Rüben.","Bei «nidsigend», aber nur bei abnehmendem Mond soll das Bauholz für ein Haus geschlagen werden.",""""""
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond»","Pro Tag werden auf der «Kreuzegg» rund 12 bis 15 Kubikmeter Rundholz verarbeitet.","«Nidsigehender Mond» ","Robert Manser, Bauherr auf der «Kreuzegg», schlug die 100 bis 150 Jahre alten Bergfichten im letzten Frühherbst im eigenen Wald nördlich der Kreuzegg."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond,","Robert Manser, Bauherr auf der «Kreuzegg», schlug die 100 bis 150 Jahre alten Bergfichten im letzten Frühherbst im eigenen Wald nördlich der Kreuzegg.","«Natürlich bei nidsigehendem Mond, wie es eben bei traditionsbewussten Holzern noch üblich sei, verrät Manser.","Mit der 700 Meter langen Seilbahn der Gebrüder Rüegg aus Goldingen wurden die Rundhölzer aus den beiden vom Revierförster Urs Kern bestimmten Schlägen zum Berg verfrachtet."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond.","Kühn erheben sich die Berge.","Hinter ihren stolzen, steil aufragenden Felsen verbirgt sich ein scheuer Mond. Ein alter Mann sitzt dort, lächelt vor sich hin und verschwindet vor meinen Augen.",NA
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Auch wenn einem vielleicht der Liebeskummer und die Probleme der vergangenen Woche noch schwer auf dem Magen liegen, sieht man die Welt am Wochenende nicht mehr ganz so schwarz.","Zwar bringt die Mond-Neptun-Verbindung am Samstag morgen noch nicht unbedingt die gewünschte Stimmungsverbesserung, doch wenn am Mittwoch der Mond in den Löwen wechselt, hat man bereits wieder mehr Energie und ist eher bereit, die Initiative zu ergreifen.","Im Verlauf des Tages wie auch in der Nacht auf den Sonntag zeichnen sich dann Konstellationen ab, die einerseits Leidenschaft und Intensität versprechen, und anderseits wieder deutlich mehr Anlass zu Optimismus und Hoffnung bieten."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond.","Draussen indes liebkost mit dem Plantanos flüsternd die Pinie,","Und bald steiget herauf vom Capitole der Mond. ","Aber was gibt's?"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","* kurt schiesser","Knochige Indianergesichter, gefärbte Bisonschädel, den Mond anheulende Wölfe, einzigartige Ledergürtel in allen vorstellbaren Designs, Geldbörsen, verziert mit Harley-Davidson-Motoren, religiös anmutenden Motiven, elegante Messerscheiden, verzierte Motorradsättel: Wer Willys Leder-Workshop betritt, taucht in eine andere Welt ein, in die Welt der Lederhandwerkskunst: Einige der verwendeten Werkzeuge erinnern an einen fast schon vergessenen Beruf, den des Sattlers: Ledernähmaschinen, Drehmesser, Punziereisen.","Nur 25 solcher LederWorkshops gibt es in unserem Land."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Und weil Neptun stark steht, muss man sich vor zu hohen Erwartungen hüten, sonst kann es leicht zu Enttäuschungen kommen.","Wenn am Sonntag der Mond im Skorpion und der Mars in kritischer Position steht, können schmerzliche und auch leidenschaftliche Gefühle unerwartet an die Öffentlichkeit kommen.","Man reagiert sehr emotional, ohne lange zu überlegen."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Offensichtlich hatte Malcolm Redman nach dem Abendessen plötzlich den Einfall gehabt, mit seiner Verlobten eine Ruderbootfahrt auf dem nahegelegenen Fluss zu machen.","«Der Mond schien hell.. ., Sie wissen ja, wie das ist», sagte Redman entschuldigend.","«Als wir mitten auf dem Fluss waren, machten wir ein bisschen Unfug, und Jane fiel ins Wasser.»"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Redman war sehr bewegt, als er Carter die Geschichte erzählte.","«Dieser verdammte Mond verschwand hinter eine Wolke, und ich konnte nicht die Spur sehen.»","Nach etwa zehn Minuten habe er die Suche aufgegeben."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond.","Auf dem Programm stehen Lieder von Roelli bis Swing, zarte, humorvolle Kindernachtgebete von Ringenatz und frechere Nachtwünsche von Mozart.","Das nächtliche Sehnen einer Waldgeiss wird besungen und das Leben eigenartiger Mondbewohner, wie zum Beispiel das von der Mondschaft, oder dem Mann im Mond. Die Chorschule Herisau besteht aus zirka 30 Sänger und Sängerinnen.bl.",NA
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond.","Auf dem Programm stehen Lieder von Roelli bis Swing, zarte, humorvolle Kindernachtgebete von Ringenatz und frechere Nachtwünsche von Mozart.","Das nächtliche Sehnen einer Waldgeiss wird besungen und das Leben eigenartiger Mondbewohner, wie zum Beispiel das vom dem Mondschaft, oder dem Mann im Mond. Die Chorschule Herisau besteht aus zirka 30 Sänger und Sängerinnen.bl.",NA
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","* Heini Schwendener","Am Donnerstag abend, dem letzten Tag der Freilicht-Kino-Veranstaltung, strahlt Rohy Batliwala mit dem Mond am Abendhimmel um die Wette.","«Unter solchen Umständen könnte man das Open-air-Kino noch tagelang weiterführen», sagt er mit Blick auf das Publikum, das an der Kasse Schlange steht."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Am frühen Samstagmorgen wechselt die Sonne das Sternzeichen und wandert vom feurigen Löwen in die gemässigtere Jungfrau.","Man würde also meinen, dass damit ein ruhiges Wochenende bevorsteht, zumal sich auch der Mond in diesen zwei Tagen im beständigen Stier aufhält.","Von Ruhe ist allerdings nicht viel zu spüren, und wer sich auf ein entspanntes und ausgeglichenes Wochenende freut, wird vermutlich enttäuscht."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Es ist deshalb kein Zufall, dass der Appenzeller Verlag auch für 1998 einen Saat- undPflanzkalender nach Mondstand und Sternzeichen herausgibt.","Der Kalender zeigt an, wie der Mond Pflege und Wachstum von Zier- und Nutzpflanzen beeinflusst.","Jedem Monat ist eine Doppelseite mit dem Monatsblatt des Appenzeller Kalenders gewidmet."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond»","* peter surber","Es mag Zufall sein, dass der eine, der 1979 gestorbene St.Galler Dichter Joseph Kopf, «todhelle» Gedichte schreibt, dass der andere, Franz Schubert, in einem seiner befremdlichsten Lieder «Grab und Mond» anruft.","Oder vielleicht doch kein Zufall - beide, Kopf wie Schubert, kannten das Dunkle des Lebens, ahnten das noch Dunklere des Todes."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Die Konfliktgefahr ist deutlich geringer, und man zeigt sich vielmehr von der genussfreudigen Seite.","Von Freitagabend bis Sonntag steht der Mond im Löwen, und das ist gut, weil es die Lebenslust, den Tatendrang und den Optimismus steigert.","Am Samstag gibt es zudem sehr dynamische Konstellationen, die zur Aktivität und Geselligkeit auffordern."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Ein milder Samstagabend am See wischen «Arion» und «Idyll».","Der Mond scheint goldorange über die Dächer der Badhütte und spiegelt sich im leicht wellenden Wasser.","Gut gelaunte Menschen flanieren den Ständen entlang auf der Promenade oder sitzen an den von freiwilligen Helfern aufgebauten Tischen, geniessen die einmalige Athmosphäre."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond..","Schaufelberger","Ursina Gregori und Charlotte Widmer waren bereits mit ihrem ersten gemeinsamen Programm «Ja, wenn der Mond.. .»","Gäste von «Open opera»; vor vollbesetzter Kreuzbleiche-Turnhalle standen sie nun auch mit ihrer zweiten Produktion auf der Bühne."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Neue Sicht","Rechtzeitig aufs Wochenende wechselt der Mond am Samstag morgen vom Steinbock in den Wassermann, und das verspricht immerhin etwas Auflockerung nach einer nicht gerade einfachen Woche.","Der Wassermann, ein vorwärtsstrebendes und vielseitig interessiertes Sternzeichen, zeigt an, dass man die Aufmerksamkeit wieder mehr in die Zukunft richten kann und sich von der Vergangenheit allmählich löst."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Keine andere Weltraumnation verfügt über einen so grossen Erfahrungsschatz in der bemannten Raumfahrt wie Russland.","Nach dem verlorenen Wettlauf auf den Mond begann die damalige Sowjetunion mit der Realisierung eines Raumstationsprogramms.","Der Aufenthalt auf den Saljut-Stationen wurde sukzessive verlängert."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Radio DRS1, 09.35","Der Mond bewegt seit jeher das Gemüt der Menschen.","Insbesondere auch jenes der Dichter."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Insbesondere auch jenes der Dichter.","In allen literarischen Epochen erscheint der Mond immer wieder in den verschiedensten poetischen Landschaften.","Ein Tag vor dem Vollmond liest die Schauspielerin Valerie Steinmann Gedichte von Matthias Claudius bis Albert Ehrismann."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Morgen beginnt um 19.33 Uhr die letzte totale Mondfinsternis in diesem Jahrhundert, die in Mitteleuropa beobachtet werden kann.","Der Mond soll nach Prognosen der Fachleute während dessen einen rötlichen Schimmer aufweisen.","Im Gegensatz zur Sonnenfinsternis dauert eine Mondfinsternis länger und kann theoretisch von jedem Punkt der Erde beobachtet werden."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond.","Auf was ist dieser Unterschied zurückzuführen?","Die Erde ist viermal grösser als der Mond. Der Mond ist scheinbar gleich gross wie die Sonne, da diese 400mal grösser, aber im Mittel 390mal weiter von der Erde als der Mond entfernt ist.",NA
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Die Erde ist viermal grösser als der Mond.","Der Mond ist scheinbar gleich gross wie die Sonne, da diese 400mal grösser, aber im Mittel 390mal weiter von der Erde als der Mond entfernt ist.","Das wirkt sich auf die Dauer der jeweiligen Finsternis aus."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Die Erde ist viermal grösser als der Mond.","Der Mond ist scheinbar gleich gross wie die Sonne, da diese 400mal grösser, aber im Mittel 390mal weiter von der Erde als der Mond entfernt ist.","Das wirkt sich auf die Dauer der jeweiligen Finsternis aus."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Das wirkt sich auf die Dauer der jeweiligen Finsternis aus.","Bei einer totalen Mondfinsternis steht die Erde zwischen Sonne und Mond auf einer Linie und wirft einen Schatten auf den Mond, der breiter als der Monddurchmesser ist.","Steht der Mond zwischen Sonne und Erde, wie dies bei der Sonnenfinsternis der Fall ist, so wird nur ein schmaler Schatten auf die Erde geworfen."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond,","Das wirkt sich auf die Dauer der jeweiligen Finsternis aus.","Bei einer totalen Mondfinsternis steht die Erde zwischen Sonne und Mond auf einer Linie und wirft einen Schatten auf den Mond, der breiter als der Monddurchmesser ist.","Steht der Mond zwischen Sonne und Erde, wie dies bei der Sonnenfinsternis der Fall ist, so wird nur ein schmaler Schatten auf die Erde geworfen."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Bei einer totalen Mondfinsternis steht die Erde zwischen Sonne und Mond auf einer Linie und wirft einen Schatten auf den Mond, der breiter als der Monddurchmesser ist.","Steht der Mond zwischen Sonne und Erde, wie dies bei der Sonnenfinsternis der Fall ist, so wird nur ein schmaler Schatten auf die Erde geworfen.","Die Dauer der Sonnenfinsternis ist deshalb kurz und kann nur an bestimmten Orten der Erde verfolgt werden."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Auf wenige Minuten genau, denn die Mondbahnen können heute exakt bestimmt werden.","Der Mond bewegt sich von der Erde weg.","Hat dies sprübare Folgen für die Berechnung der Ereigniszeit der Finsternis?"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Für die Berechnung ist dies vernachlässigbar.","Ausserdem können wir heute exakt messen, wie schnell sich der Mond von der Erde entfernt.","Denn seit der ersten Mondlandung 1969 steht ein Spiegel auf dem Mond, der jeweils jene Laserstrahlen auf die Erde reflektiert, die von der Erde auf den Mond gesandt wurden."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond,","Ausserdem können wir heute exakt messen, wie schnell sich der Mond von der Erde entfernt.","Denn seit der ersten Mondlandung 1969 steht ein Spiegel auf dem Mond, der jeweils jene Laserstrahlen auf die Erde reflektiert, die von der Erde auf den Mond gesandt wurden.","So kann die Distanz genau gemessen werden."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Ausserdem können wir heute exakt messen, wie schnell sich der Mond von der Erde entfernt.","Denn seit der ersten Mondlandung 1969 steht ein Spiegel auf dem Mond, der jeweils jene Laserstrahlen auf die Erde reflektiert, die von der Erde auf den Mond gesandt wurden.","So kann die Distanz genau gemessen werden."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","So kann die Distanz genau gemessen werden.","Theoretisch müsste der Mond während der Finsternis völlig dunkel erscheinen.","Fachleute sagen aber voraus, dass der Mond während der Finsternis in einem grünlich-roten Schimmer liegt."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Theoretisch müsste der Mond während der Finsternis völlig dunkel erscheinen.","Fachleute sagen aber voraus, dass der Mond während der Finsternis in einem grünlich-roten Schimmer liegt.","Auf was ist dies zurückzuführen?"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Der Stier-Mond deutet auf einen ruhigen Wochenendeinstieg und bringt zunächst eine gewisse Bequemlichkeit und den Wunsch, es sich möglichst gemütlich zu machen.","Wenn der Mond dann aber am Samstag abend dem Mars gegenüber steht, versetzt ihm das einen Energieschub.","Statt vor demFernseher zu sitzen, unternimmt man deshalb aktiv etwas, um überschüssige Energien abzubauen."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Andernfalls können sich innere Unruhe und Gereiztheit unangenehm bemerkbar machen.","Am Sonntag morgen wechselt der Mond dann ins kontaktfreudige Sternzeichen Zwillinge, und damit ist ein aktiver Tag angesagt.","Monica Kissling"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Anderseits gerade recht zum Unterricht.","Auf der Schulwandtafel anstelle des Vorhangs steht geschrieben das Märchen vom hoffenden Kind auf der toten Erde unterm toten Himmel und einem Mond wie «faul Holz».","Dann erzählt ein Narr das Märchen, darauf der junge Regisseur Andreas von Studnitz den «Woyzeck» entlang diesem Unmärchen."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Den besonderen Ton einer Streichmusik fand er verständlicherweise in dieser Form nicht ganz, zumal auch die Spielweise nicht einfach übertragbar ist.","Mit dem zum Volkslied gewordenen «Der Mond ist aufgegangen» von Matthias Claudius mit der vom Dirigenten bearbeiteten Melodie von Johann Abraham Peter Schulz entliessen Chor und Orchester ihr Publikum, das die Kirche bis auf den letzten Platz gefüllt hatte.",NA
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","23 Männerriegler des Turnvereins Gossau erlebten am vergangenen Freitag eine kameradschaftliche, wunderbare Abendwanderung auf die Hundwiler Höhe.","Der Aufstieg ab Ramsten begann an einem schönen Abend, und bald schon waren der Mond und die Sterne Begleiter der Turnerschar.","Diese erreichte schon nach knapp Dreiviertelstunden die Hundwiler Höhe."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond:",NA,"Die Tage werden nun rasch kürzer und zwar von 11 Stunden 42 Minuten auf 10 Stunden und 5 Minuten. Mond: Am 1. und 31.","Oktober ist Neumond."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Am 15.","Oktober befindet sich der Mond ganz nahe (zwei Vollmondbreiten) beim Planeten Saturn.","Für Beobachter die den Ring-planeten am Himmel bisher nicht gefunden haben, ist der Mond ein auffälliger Wegweiser."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Oktober befindet sich der Mond ganz nahe (zwei Vollmondbreiten) beim Planeten Saturn.","Für Beobachter die den Ring-planeten am Himmel bisher nicht gefunden haben, ist der Mond ein auffälliger Wegweiser.","Die Planeten: Merkur ist während der ersten Oktobertage nur noch kurze Zeit bei Dämmerungsbeginn knapp über dem Osthorizont sichtbar."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Die Woche steht unter teilweise widersprüchlichen Konstellationen, doch dürften sich die harmonisierenden Einflüsse durchsetzen, weil sie überwiegen.","Die ausgleichenden Energien verdanken wir hauptsächlich dem zunehmenden Einfluss des Sternzeichens Waage: Dort findet nämlich morgen abend ein Neumond statt, das heisst, Sonne und Mond stehen dann zusammen in der Waage.","Und am Donnerstagmorgen wechselt auch noch Merkur, der Kommunikationsplanet, ins kompromissbereite Sternzeichen Waage."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond»","Blauringlager im Schülerferienhaus Vorderer Schwäbrig über Gais / Appenzell","Wunderschön, mit Blick auf den Säntis und neben riesigen alten Ahornbäumen, ist das Haus gelegen, das sich Karin Diethelm und die fünf Blauringleiterinnen ausgesucht haben: Dort verbringen 24 Kinder eine Woche mit dem peruanischen Märchen von «Sonne und Mond» und erleben den Wind der Anden.","* Gretel seebass"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond»,","Der Sonntag begann mit Spielen.","Am Nachmittag hielt Karin Diethelm einen Wortgottesdienst mit dem peruanischen Märchen von «Sonne und Mond», das im Gegensatz zu deutschen Volksmärchen kein «happy end» kennt, es sei denn, man kann sich damit versöhnen, dass ein liebendes Paar unter Opferung des eigenen Lebens Freude und Licht in sein Dorf zurückbringt.","Der junge Fischer schenkt den Bewohnern, die bisher nur Sterne kannten und durch eigene Habgier und Neid immer mehr im Dunkeln leben mussten, das Sonnenlicht."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Von seiner Liebe beflügelt, springt er von Stern zu Stern und sammelt leuchtende Sternensteine, die er auf seinem Schild, der Sonne, befestigt.","Als er von oben seine verlassene Frau traurig vor der Hütte stehen sieht, wirft er ihr sein Herz zu, das sich in den Mond verwandelt.","Sie weint und wird zum Fluss, der ins Meer fliesst."
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Sie weint und wird zum Fluss, der ins Meer fliesst.","Wenn sich der Mond in ihm spiegelt, sind die Liebenden für kurze Zeit vereint.","Sternen-Hüpflauf"
"4.20.4","Mittwoch, den 23. Juni 2021, 23:08:11","Mond","Doch holten die Amerikaner unter dem neuen Präsidenten John F.","Kennedy zum «Gegenschlag» aus, indem sie eine bemannte Landung auf dem Mond noch vor dem Jahr 1970 zu ihrem Ziel erklärten.","Es fliesst viel Geld"
